"Date","Day/Eve","Number 1","Number 2","Number 3","GreenBall","DoubleDraw*"
"10/04/2018","D","2","5","8","",""
"10/04/2018","E","9","4","6","",""
"10/03/2018","D","9","2","7","",""
"10/03/2018","E","1","6","8","",""
"10/02/2018","D","0","0","1","",""
"10/02/2018","E","2","8","6","",""
"10/01/2018","D","5","9","1","",""
"10/01/2018","E","3","9","4","",""
"09/30/2018","D","8","5","7","",""
"09/30/2018","E","0","0","0","False",""
"09/29/2018","D","6","0","9","",""
"09/29/2018","E","4","4","4","False",""
"09/28/2018","D","2","8","1","",""
"09/28/2018","E","2","9","5","True",""
"09/27/2018","D","7","5","3","",""
"09/27/2018","E","5","9","5","False",""
"09/26/2018","D","4","5","3","",""
"09/26/2018","E","8","1","6","False",""
"09/25/2018","D","3","0","4","",""
"09/25/2018","E","5","7","1","False",""
"09/24/2018","D","2","8","9","",""
"09/24/2018","E","4","3","6","True",""
"09/23/2018","D","4","3","5","",""
"09/23/2018","E","5","8","8","False",""
"09/22/2018","D","2","1","7","",""
"09/22/2018","E","7","0","0","False",""
"09/21/2018","D","9","0","8","",""
"09/21/2018","E","2","6","1","False",""
"09/20/2018","D","0","7","5","",""
"09/20/2018","E","6","9","6","False",""
"09/19/2018","D","5","6","4","",""
"09/19/2018","E","7","8","5","False",""
"09/18/2018","D","4","8","8","",""
"09/18/2018","E","2","3","6","True",""
"09/17/2018","D","4","4","4","",""
"09/17/2018","E","4","0","7","False",""
"09/16/2018","D","3","2","0","",""
"09/16/2018","E","2","4","2","False",""
"09/15/2018","D","8","0","3","",""
"09/15/2018","E","8","5","2","False",""
"09/14/2018","D","2","3","7","",""
"09/14/2018","E","7","6","4","True",""
"09/13/2018","D","9","1","8","",""
"09/13/2018","E","1","0","5","True",""
"09/12/2018","D","6","9","3","",""
"09/12/2018","E","1","2","6","False",""
"09/11/2018","D","0","0","3","",""
"09/11/2018","E","7","4","0","False",""
"09/10/2018","D","7","2","6","",""
"09/10/2018","E","7","5","6","True",""
"09/09/2018","D","3","4","4","",""
"09/09/2018","E","0","5","2","False",""
"09/08/2018","D","4","2","8","",""
"09/08/2018","E","2","7","7","True",""
"09/07/2018","D","1","0","7","",""
"09/07/2018","E","1","3","8","False",""
"09/06/2018","D","6","6","2","",""
"09/06/2018","E","8","6","4","False",""
"09/05/2018","D","6","7","1","",""
"09/05/2018","E","9","6","1","False",""
"09/04/2018","D","6","6","9","",""
"09/04/2018","E","2","7","9","False",""
"09/03/2018","D","4","1","6","",""
"09/03/2018","E","5","9","1","True",""
"09/02/2018","D","6","8","3","",""
"09/02/2018","E","1","9","8","False",""
"09/01/2018","D","8","5","8","",""
"09/01/2018","E","0","6","4","False",""
"08/31/2018","D","1","4","6","",""
"08/31/2018","E","3","7","7","",""
"08/30/2018","D","3","0","9","",""
"08/30/2018","E","2","6","9","",""
"08/29/2018","D","9","2","9","",""
"08/29/2018","E","8","6","0","",""
"08/28/2018","D","9","6","7","",""
"08/28/2018","E","9","2","7","",""
"08/27/2018","D","1","0","5","",""
"08/27/2018","E","1","1","1","",""
"08/26/2018","D","0","4","6","",""
"08/26/2018","E","8","3","8","",""
"08/25/2018","D","2","3","7","",""
"08/25/2018","E","8","6","8","",""
"08/24/2018","D","6","5","9","",""
"08/24/2018","E","3","8","4","",""
"08/23/2018","D","1","2","0","",""
"08/23/2018","E","5","6","7","",""
"08/22/2018","D","8","0","5","",""
"08/22/2018","E","0","7","8","",""
"08/21/2018","D","4","3","0","",""
"08/21/2018","E","6","8","2","",""
"08/20/2018","D","1","3","2","",""
"08/20/2018","E","5","9","7","",""
"08/19/2018","D","0","6","7","",""
"08/19/2018","E","8","4","6","",""
"08/18/2018","D","5","7","4","",""
"08/18/2018","E","8","4","0","",""
"08/17/2018","D","5","4","6","",""
"08/17/2018","E","0","1","2","",""
"08/16/2018","D","1","5","0","",""
"08/16/2018","E","5","2","3","",""
"08/15/2018","D","8","2","2","",""
"08/15/2018","E","2","4","2","",""
"08/14/2018","D","3","3","7","",""
"08/14/2018","E","9","5","2","",""
"08/13/2018","D","0","2","2","",""
"08/13/2018","E","1","6","0","",""
"08/12/2018","D","3","4","4","",""
"08/12/2018","E","2","7","1","",""
"08/11/2018","D","0","7","8","",""
"08/11/2018","E","3","6","7","",""
"08/10/2018","D","0","5","8","",""
"08/10/2018","E","5","4","5","",""
"08/09/2018","D","7","4","1","",""
"08/09/2018","E","5","2","6","",""
"08/08/2018","D","5","5","8","",""
"08/08/2018","E","2","1","9","",""
"08/07/2018","D","6","0","4","",""
"08/07/2018","E","1","7","0","",""
"08/06/2018","D","5","1","3","",""
"08/06/2018","E","2","1","0","",""
"08/05/2018","D","7","2","8","",""
"08/05/2018","E","6","9","5","",""
"08/04/2018","D","3","3","4","",""
"08/04/2018","E","8","0","8","",""
"08/03/2018","D","1","5","0","",""
"08/03/2018","E","4","8","3","",""
"08/02/2018","D","9","2","1","",""
"08/02/2018","E","3","2","8","",""
"08/01/2018","D","5","7","9","",""
"08/01/2018","E","2","8","6","",""
"07/31/2018","D","5","1","0","",""
"07/31/2018","E","8","4","7","",""
"07/30/2018","D","9","9","2","",""
"07/30/2018","E","2","8","7","",""
"07/29/2018","D","9","5","0","",""
"07/29/2018","E","0","7","8","",""
"07/28/2018","D","2","0","2","",""
"07/28/2018","E","2","9","1","",""
"07/27/2018","D","3","4","3","",""
"07/27/2018","E","9","6","6","",""
"07/26/2018","D","9","8","3","",""
"07/26/2018","E","9","2","0","",""
"07/25/2018","D","5","7","1","",""
"07/25/2018","E","3","1","0","",""
"07/24/2018","D","8","2","0","",""
"07/24/2018","E","3","8","3","",""
"07/23/2018","D","5","2","0","",""
"07/23/2018","E","1","3","5","",""
"07/22/2018","D","6","7","0","",""
"07/22/2018","E","3","2","5","",""
"07/21/2018","D","1","8","3","",""
"07/21/2018","E","9","3","5","",""
"07/20/2018","D","6","4","6","",""
"07/20/2018","E","1","5","8","",""
"07/19/2018","D","3","6","7","",""
"07/19/2018","E","1","8","1","",""
"07/18/2018","D","9","6","3","",""
"07/18/2018","E","1","0","1","",""
"07/17/2018","D","0","8","8","",""
"07/17/2018","E","0","3","3","",""
"07/16/2018","D","2","8","6","",""
"07/16/2018","E","7","5","7","",""
"07/15/2018","D","7","7","1","",""
"07/15/2018","E","2","2","1","",""
"07/14/2018","D","0","3","0","",""
"07/14/2018","E","1","5","9","",""
"07/13/2018","D","3","9","4","",""
"07/13/2018","E","1","5","2","",""
"07/12/2018","D","2","8","7","",""
"07/12/2018","E","3","8","5","",""
"07/11/2018","D","9","0","8","",""
"07/11/2018","E","5","3","8","",""
"07/10/2018","D","1","4","6","",""
"07/10/2018","E","7","3","3","",""
"07/09/2018","D","2","7","2","",""
"07/09/2018","E","0","0","2","",""
"07/08/2018","D","2","6","9","",""
"07/08/2018","E","4","2","0","",""
"07/07/2018","D","4","6","8","",""
"07/07/2018","E","4","5","0","",""
"07/06/2018","D","3","4","9","",""
"07/06/2018","E","5","0","7","",""
"07/05/2018","D","0","9","7","",""
"07/05/2018","E","7","4","8","",""
"07/04/2018","D","7","9","4","",""
"07/04/2018","E","0","8","8","",""
"07/03/2018","D","5","9","8","",""
"07/03/2018","E","5","1","7","",""
"07/02/2018","D","5","8","6","",""
"07/02/2018","E","5","2","5","",""
"07/01/2018","D","7","9","7","",""
"07/01/2018","E","8","5","6","",""
"06/30/2018","D","2","9","8","",""
"06/30/2018","E","6","6","5","",""
"06/29/2018","D","9","0","2","",""
"06/29/2018","E","6","9","5","",""
"06/28/2018","D","8","5","2","",""
"06/28/2018","E","5","7","4","",""
"06/27/2018","D","3","7","6","",""
"06/27/2018","E","3","9","6","",""
"06/26/2018","D","6","4","9","",""
"06/26/2018","E","4","9","8","",""
"06/25/2018","D","9","8","1","",""
"06/25/2018","E","1","5","9","",""
"06/24/2018","D","8","5","2","",""
"06/24/2018","E","0","2","1","",""
"06/23/2018","D","0","2","9","",""
"06/23/2018","E","9","8","2","",""
"06/22/2018","D","5","0","5","",""
"06/22/2018","E","3","5","6","",""
"06/21/2018","D","6","1","9","",""
"06/21/2018","E","3","4","3","",""
"06/20/2018","D","2","2","4","",""
"06/20/2018","E","4","9","2","",""
"06/19/2018","D","4","0","6","",""
"06/19/2018","E","3","5","7","",""
"06/18/2018","D","3","6","2","",""
"06/18/2018","E","7","2","9","",""
"06/17/2018","D","1","4","6","",""
"06/17/2018","E","7","0","4","",""
"06/16/2018","D","5","1","5","",""
"06/16/2018","E","6","7","1","",""
